Click to return to INDEX,Viking Robotics Society,,,,,,,,,,,,,,,
Provide a backup purchase link for all purchases. Requests take a while to process and parts may run out of stock during the process,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Budget Request #:,Request 17,Date Submitted:,TBD,Date Approved:,TBD,,,,,,,,,,,
Notes,This Purchase Request is for supply for the begining of the term,,,Amount Approved:,,,,,,,,,,,,
,,,Preferred Purchase Option,,,,,,,Backup Purchase Option,,,,,,
Reason for Purchase,Items,Notes,Count in one order,# of orders to get,Cost per order,S&H,Total w/ S&H,Link,Notes,Count in one order,# of orders to get,Cost per order,S&H,Total w/ S&H,Link,Notes
Overall Total,,,,,,$30.99,$481.43,,,Overall Total,,,$0.00,$0.00,,
Robot Arm Project,Raspberry Pi 3,,1,1,$57.89,,$57.89,https://www.amazon.com/ELEMENT-Element14-Raspberry-Pi-Motherboard/dp/B07P4LSDYV/ref=sr_1_5?keywords=raspberry+pi+3+B%2B&qid=1572327255&sr=8-5,,,,,,,,
Robot Arm Project,"Ar-BotiX-M Robo
 Controller",,1,1,$39.95,,$39.95,https://www.trossenrobotics.com/p/arbotix-robot-controller.aspx,,,,,,,,
Robot Arm Project,"Stepper Motor 
 Controller",,5,1,$9.99,$6.99,$16.98,https://www.amazon.com/KINGPRINT-DRV8825-Stepper-Driver-Printer/dp/B075XH1TSJ/ref=sr_1_3?keywords=stepper+motor+driver+module&qid=1571459245&s=industrial&sr=1-3,,,,,,,,
Robot Arm Project,"Dynamixel AX-12A
 Digital Servos",,1,2,$44.90,$14.00,$103.80,https://www.trossenrobotics.com/dynamixel-ax-12-robot-actuator.aspx,,,,,,,,
Robot Arm Project,Dynamixel Cables,,10,1,$14.90,,$14.90,https://www.trossenrobotics.com/p/250mm-3-pin-dynamixel-compatible-cables-10-pack,,,,,,,,
Robot Arm Project,Power Supply,,1,1,$21.99,,$21.99,https://www.amazon.com/Xenocam-Power-Supply-Splitter-Cameras/dp/B07X5LQ17L/ref=sr_1_4?keywords=Power+supply%2C+12V%2C+10000mA&qid=1571458476&sr=8-4,,,,,,,,
Robot Arm Project,Dynamixel RX,,1,1,$195.93,$10.00,$205.93,http://www.robotis.us/dynamixel-rx-64-hn05-n1/,,,,,,,,
Robot Arm Project,3D printing filament,,1,1,$19.99,,$19.99,https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B00J0ECR5I/ref=sr_1_4?keywords=3mm+filament+hatchbox&qid=1572327780&sr=8-4,,,,,,,,
